Subject,Session/Partition,Localizer,EVEN_S-N
712_FED_20190124d_3T2_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/712_FED_20190124d_3T2_PL2017/firstlevel_langloc_DiffTasks_1/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/712_FED_20190124d_3T2_PL2017/firstlevel_langloc_DiffTasks_1/con_0012.nii
714_FED_20190131a_3T2_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/714_FED_20190131a_3T2_PL2017/firstlevel_langloc_DiffTasks_1/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/714_FED_20190131a_3T2_PL2017/firstlevel_langloc_DiffTasks_1/con_0012.nii
715_FED_20190131b_3T2_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/715_FED_20190131b_3T2_PL2017/firstlevel_langloc_DiffTasks_1/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/715_FED_20190131b_3T2_PL2017/firstlevel_langloc_DiffTasks_1/con_0012.nii
716_FED_20190131d_3T2_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/716_FED_20190131d_3T2_PL2017/firstlevel_langloc_DiffTasks_1/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/716_FED_20190131d_3T2_PL2017/firstlevel_langloc_DiffTasks_1/con_0012.nii
717_FED_20190207a_3T2_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/717_FED_20190207a_3T2_PL2017/firstlevel_langloc_DiffTasks_1/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/717_FED_20190207a_3T2_PL2017/firstlevel_langloc_DiffTasks_1/con_0012.nii
718_FED_20190207b_3T2_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/718_FED_20190207b_3T2_PL2017/firstlevel_langloc_DiffTasks_1/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/718_FED_20190207b_3T2_PL2017/firstlevel_langloc_DiffTasks_1/con_0012.nii
719_FED_20190207c_3T2_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/719_FED_20190207c_3T2_PL2017/firstlevel_langloc_DiffTasks_1/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/719_FED_20190207c_3T2_PL2017/firstlevel_langloc_DiffTasks_1/con_0012.nii
720_FED_20190208b_3T2_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/720_FED_20190208b_3T2_PL2017/firstlevel_langloc_DiffTasks_1/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/720_FED_20190208b_3T2_PL2017/firstlevel_langloc_DiffTasks_1/con_0012.nii
721_FED_20190208c_3T2_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/721_FED_20190208c_3T2_PL2017/firstlevel_langloc_DiffTasks_1/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/721_FED_20190208c_3T2_PL2017/firstlevel_langloc_DiffTasks_1/con_0012.nii
722_FED_20190213a_3T2_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/722_FED_20190213a_3T2_PL2017/firstlevel_langloc_DiffTasks_1/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/722_FED_20190213a_3T2_PL2017/firstlevel_langloc_DiffTasks_1/con_0012.nii
724_FED_20190214b_3T2_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/724_FED_20190214b_3T2_PL2017/firstlevel_langloc_DiffTasks_1/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/724_FED_20190214b_3T2_PL2017/firstlevel_langloc_DiffTasks_1/con_0012.nii
018_KAN_RHnonlit_09_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/018_KAN_RHnonlit_09_PL2017/firstlevel_langlocSN/locT_0012_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/018_KAN_RHnonlit_09_PL2017/firstlevel_langlocSN/con_0013.nii
018_FED_20150817a_3T1_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/018_FED_20150817a_3T1_PL2017/firstlevel_langlocSN/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/018_FED_20150817a_3T1_PL2017/firstlevel_langlocSN/con_0012.nii
036_KAN_EvDB_20150501b_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/036_KAN_EvDB_20150501b_PL2017/firstlevel_langlocSN/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/036_KAN_EvDB_20150501b_PL2017/firstlevel_langlocSN/con_0012.nii
043_FED_20170630b_3T2_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/043_FED_20170630b_3T2_PL2017/firstlevel_langlocSN/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/043_FED_20170630b_3T2_PL2017/firstlevel_langlocSN/con_0012.nii
045_FED_20160803a_3T1_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/045_FED_20160803a_3T1_PL2017/firstlevel_langlocSN/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/045_FED_20160803a_3T1_PL2017/firstlevel_langlocSN/con_0012.nii
045_FED_20160817a_3T2_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/045_FED_20160817a_3T2_PL2017/firstlevel_langlocSN/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/045_FED_20160817a_3T2_PL2017/firstlevel_langlocSN/con_0012.nii
049_KAN_RHnonlit_10_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/049_KAN_RHnonlit_10_PL2017/firstlevel_langlocSN/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/049_KAN_RHnonlit_10_PL2017/firstlevel_langlocSN/con_0012.nii
050_KAN_evDB_20131218b_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/050_KAN_evDB_20131218b_PL2017/firstlevel_langlocSN/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/050_KAN_evDB_20131218b_PL2017/firstlevel_langlocSN/con_0012.nii
055_FED_20191106a_3T2_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/055_FED_20191106a_3T2_PL2017/firstlevel_langlocSN/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/055_FED_20191106a_3T2_PL2017/firstlevel_langlocSN/con_0012.nii
090_KAN_polyglot_01_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/090_KAN_polyglot_01_PL2017/firstlevel_langlocSN/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/090_KAN_polyglot_01_PL2017/firstlevel_langlocSN/con_0012.nii
097_KAN_RHnonlit_05_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/097_KAN_RHnonlit_05_PL2017/firstlevel_langlocSN/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/097_KAN_RHnonlit_05_PL2017/firstlevel_langlocSN/con_0012.nii
113_KAN_prodsemphon_05_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/113_KAN_prodsemphon_05_PL2017/firstlevel_langlocSN/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/113_KAN_prodsemphon_05_PL2017/firstlevel_langlocSN/con_0012.nii
117_KAN_EvDB_20150217c_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/117_KAN_EvDB_20150217c_PL2017/firstlevel_langlocSN/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/117_KAN_EvDB_20150217c_PL2017/firstlevel_langlocSN/con_0012.nii
127_FED_20160331a_3T1_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/127_FED_20160331a_3T1_PL2017/firstlevel_langlocSN/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/127_FED_20160331a_3T1_PL2017/firstlevel_langlocSN/con_0012.nii
127_KAN_EvDB_20150217a_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/127_KAN_EvDB_20150217a_PL2017/firstlevel_langlocSN/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/127_KAN_EvDB_20150217a_PL2017/firstlevel_langlocSN/con_0012.nii
135_KAN_RHnonlit_06_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/135_KAN_RHnonlit_06_PL2017/firstlevel_langlocSN/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/135_KAN_RHnonlit_06_PL2017/firstlevel_langlocSN/con_0012.nii
136_KAN_RHnonlit_03_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/136_KAN_RHnonlit_03_PL2017/firstlevel_langlocSN/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/136_KAN_RHnonlit_03_PL2017/firstlevel_langlocSN/con_0012.nii
138_KAN_RHnonlit_02_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/138_KAN_RHnonlit_02_PL2017/firstlevel_langlocSN/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/138_KAN_RHnonlit_02_PL2017/firstlevel_langlocSN/con_0012.nii
143_FED_20160222a_3T2_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/143_FED_20160222a_3T2_PL2017/firstlevel_langlocSN/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/143_FED_20160222a_3T2_PL2017/firstlevel_langlocSN/con_0012.nii
143_KAN_evDB_20140121b_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/143_KAN_evDB_20140121b_PL2017/firstlevel_langlocSN/locT_0012_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/143_KAN_evDB_20140121b_PL2017/firstlevel_langlocSN/con_0013.nii
149_KAN_EvDB_20150501a_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/149_KAN_EvDB_20150501a_PL2017/firstlevel_langlocSN/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/149_KAN_EvDB_20150501a_PL2017/firstlevel_langlocSN/con_0012.nii
152_KAN_RHnonlit_01_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/152_KAN_RHnonlit_01_PL2017/firstlevel_langlocSN/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/152_KAN_RHnonlit_01_PL2017/firstlevel_langlocSN/con_0012.nii
159_KAN_prodsemphon_01_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/159_KAN_prodsemphon_01_PL2017/firstlevel_langlocSN/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/159_KAN_prodsemphon_01_PL2017/firstlevel_langlocSN/con_0012.nii
163_KAN_evDB_20141110b_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/163_KAN_evDB_20141110b_PL2017/firstlevel_langlocSN/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/163_KAN_evDB_20141110b_PL2017/firstlevel_langlocSN/con_0012.nii
168_FED_20170918a_3T2_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/168_FED_20170918a_3T2_PL2017/firstlevel_langlocSN/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/168_FED_20170918a_3T2_PL2017/firstlevel_langlocSN/con_0012.nii
168_KAN_evDB_20141020b_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/168_KAN_evDB_20141020b_PL2017/firstlevel_langlocSN/locT_0012_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/168_KAN_evDB_20141020b_PL2017/firstlevel_langlocSN/con_0013.nii
168_FED_20160107b_3T2_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/168_FED_20160107b_3T2_PL2017/firstlevel_langlocSN/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/168_FED_20160107b_3T2_PL2017/firstlevel_langlocSN/con_0012.nii
171_KAN_langsens_05_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/171_KAN_langsens_05_PL2017/firstlevel_langlocSN/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/171_KAN_langsens_05_PL2017/firstlevel_langlocSN/con_0012.nii
172_KAN_prodsemphon_02_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/172_KAN_prodsemphon_02_PL2017/firstlevel_langlocSN/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/172_KAN_prodsemphon_02_PL2017/firstlevel_langlocSN/con_0012.nii
175_FED_20160121a_3T2_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/175_FED_20160121a_3T2_PL2017/firstlevel_langlocSN/locT_0012_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/175_FED_20160121a_3T2_PL2017/firstlevel_langlocSN/con_0013.nii
175_FED_20170922a_3T2_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/175_FED_20170922a_3T2_PL2017/firstlevel_langlocSN/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/175_FED_20170922a_3T2_PL2017/firstlevel_langlocSN/con_0012.nii
179_FED_20160706b_3T1_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/179_FED_20160706b_3T1_PL2017/firstlevel_langlocSN/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/179_FED_20160706b_3T1_PL2017/firstlevel_langlocSN/con_0012.nii
181_KAN_polyglot_02_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/181_KAN_polyglot_02_PL2017/firstlevel_langlocSN/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/181_KAN_polyglot_02_PL2017/firstlevel_langlocSN/con_0012.nii
182_FED_20161102_3T1_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/182_FED_20161102_3T1_PL2017/firstlevel_langlocSN/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/182_FED_20161102_3T1_PL2017/firstlevel_langlocSN/con_0012.nii
182_KAN_polyglot_03_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/182_KAN_polyglot_03_PL2017/firstlevel_langlocSN/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/182_KAN_polyglot_03_PL2017/firstlevel_langlocSN/con_0012.nii
183_POLY01_20160420_3T1_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/183_POLY01_20160420_3T1_PL2017/firstlevel_langlocSN/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/183_POLY01_20160420_3T1_PL2017/firstlevel_langlocSN/con_0012.nii
183_KAN_polyglot_04a_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/183_KAN_polyglot_04a_PL2017/firstlevel_langlocSN/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/183_KAN_polyglot_04a_PL2017/firstlevel_langlocSN/con_0012.nii
185_KAN_langsens_01_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/185_KAN_langsens_01_PL2017/firstlevel_langlocSN/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/185_KAN_langsens_01_PL2017/firstlevel_langlocSN/con_0012.nii
186_KAN_langsens_03_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/186_KAN_langsens_03_PL2017/firstlevel_langlocSN/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/186_KAN_langsens_03_PL2017/firstlevel_langlocSN/con_0012.nii
187_KAN_SpLoc_01_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/187_KAN_SpLoc_01_PL2017/firstlevel_langlocSN/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/187_KAN_SpLoc_01_PL2017/firstlevel_langlocSN/con_0012.nii
188_KAN_SpLoc_02_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/188_KAN_SpLoc_02_PL2017/firstlevel_langlocSN/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/188_KAN_SpLoc_02_PL2017/firstlevel_langlocSN/con_0012.nii
189_KAN_langsens_04_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/189_KAN_langsens_04_PL2017/firstlevel_langlocSN/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/189_KAN_langsens_04_PL2017/firstlevel_langlocSN/con_0012.nii
